%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.points0.x,field.points0.y,field.points0.z,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1555597497219558512,278,1555597497219132900,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0175700224936,0.00472936779261,0.413000017405,,,0
1555597497243908058,279,1555597497243670940,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0176125671715,0.00474081886932,0.414000034332,,,0
1555597497276202754,280,1555597497275923967,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0175700224936,0.00562262861058,0.413000017405,,,0
1555597497310149333,281,1555597497309827089,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0176125671715,0.00474081886932,0.414000034332,,,0
1555597497355563629,282,1555597497355257034,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0176125671715,0.00474081886932,0.414000034332,,,0
1555597497383291880,283,1555597497383047103,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0176125671715,0.00474081886932,0.414000034332,,,0
1555597497419271868,284,1555597497418935060,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0167163144797,0.00474081886932,0.414000034332,,,0
1555597497443605910,285,1555597497443337917,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0175700224936,0.00472936779261,0.413000017405,,,0
1555597497475032070,286,1555597497474803924,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0176125671715,0.00474081886932,0.414000034332,,,0
1555597497511849759,287,1555597497511598110,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0167163144797,0.00474081886932,0.414000034332,,,0
